restaurant_id,restaurant_name
240,Gayatri Ganthiya
241,Gangaur Govindam
242,Blue Tokai Coffee Roasters
243,Mountain's Pizza Club
244,DragonWok Restaurant
245,Dum Safar Biryani
246,Oberai Bakers & Cafe
247,I Deli Cafe
248,The Food Court
249,ROMNIK PIZZA
250,Shyamasree Restaurant
251,1944 The Hocco kitchen
252,Odiani Hotel & Restaurant
253,Burger Singh(Big Punjabi Burgers)
254,Rasoi Thali
255,Chai Govindam
256,City Wok Restaurant
257,Gwalia Sweets & Dairy Products
258,Boketto Cafe And Restaurant
259,Thalassery Restaurant
260,Jumboking Burgers
261,Chinese Fast Food
262,Kaveri - Lalpur
263,Chaayos Chai+Snacks=Relax
264,Mr. Cake Wala
265,Cholo Khai
266,Slurppy Yummy
267,Mad Over Donuts
268,Donald's Pastry Shop
269,Taaka Chinese
270,"UBQ-Meals,Thalis & Bowls"
271,Sahib's Punjabi Tadka
272,The Belgian Waffle Co.
273,A Cheesy Sandwich
274,Puneet Misthan Bhandar
275,Shri Shyam Bhature Wala
276,New Shakti Sweets & Bakery
277,Supreme Upper Crust
278,Sanjauli Cafe
279,Hotel Polo Towers
280,Stay Fit Kitchen
281,Hotspot Grill
282,Hungry Panda
283,Mr. Bakers
284,Shiv Bhandar
285,The Thangapat Restaurant
286,Daily Kitchen - Everyday Homely Meals
287,Saladspoint
288,Takeout
289,Yumburgs
290,Swu'S Kitchen
291,New Freeze Land
292,Royal Veg. Hotel
293,Hot Breads
294,Kwality Walls Ice Cream and More
295,Thalairaj Biryani
296,Barista Coffee
297,Why Not Momos
298,Sagar Restaurant
299,Singju Imphal
300,Laxmi Food Court
301,Anna Snacks
302,Somewhere Cafe
303,Laxmi Pure Veg
304,Jagannath Mandir Arna Prasad
305,Baker's Estate
306,Barq Foods
307,Tibet Kitchen
308,6 Ballygunge Place Takeaway
309,Kanji Sweets & Restaurant
310,Mahalaxmi Sweets & Restaurant
311,JBs
312,Raja Sri Tiffins
313,Rangoli Ice Cream
314,Monginis Cake Shop
315,Jashan Restaurant
316,City Hut Family Dhaba
317,Dunkin' - Donuts & Coffee
318,Mr Choco Bakery
319,Bikaner Elite
320,Blackfern Restaurant
321,SGS Fast Food
322,Cafe Aurora
323,Friends Cafe
324,Mamagoto
325,New Parivar Restaurant
326,Huber & Holly
327,VIP Sweets Pvt. Ltd.
328,Apna Cafe
329,Malabar Plaza
330,The Hungry Beings
331,Aurora Restaurant & Lodging
332,Domino's Pizza
333,Junior Kuppanna
334,Mr Bhatura
335,Dawat-E-Khas Restaurant
336,MP's Kitchen
337,Health Wealth Kitchen
338,Like Momo
339,Trelly
340,Chili's American Grill & Bar
341,Aubree
342,Thali House
343,Mughal Darbar Since 1999
344,Annpurna Thali
345,Paprika - Pramod Laddu Bhandar
346,Ice & Spice
347,Roll's Hut
348,The biryani story (HALAL)
349,Buhari Hotel
350,Dmb(Doodh Misthan Bhandar)
351,Harilal's
352,Devi Fast Food
353,The Phoenix Residency
354,Nandhana Palace
355,LunchBox  Meals and Thalis
356,LunchBox - Meals and Thalis
357,PS4 Veg Restaurant (Perambur Sri Srinivasa)
358,KS Bakers
359,Pizzas Hub
360,Mellow
361,Seoul Burgers & Shakes
362,Sri Venkateshwara Tiffin Center
363,Winni Cakes & More
364,Ram Krishna Dalbati
365,Full House - Aquilaria Clubhouse
366,Tiffin Story
367,Grill's
368,Maa Saradar Ranna Ghor
369,Sri Vinayaka Hot Chips
370,Anjappar
371,DQ Grill & Chill
372,Perambur Sri Annapoorani
373,Apsara Ice Creams
374,Shanghai Flavours of China Town
375,Sri Ganga veg restaurant
376,Siddhu Punjabi Bhojnalaya
377,Classic 11
378,Golden Dragon
379,Wooden Spoon Restaurant
380,Logo Cafe
381,Royal Kitchen
382,Uttam Sweets Bakery & Restaurant
383,Cafe Cotinga
384,New Shakti Sweets
385,Taaza - All Day Breakfast
386,Munchies
387,I food u
388,The Good Bowl
389,Wendy's Flavour Fresh
390,Sweet Truth
391,Babe da Dhaba
392,Idly & Dosai Delight
393,Roll Corner
394,BOOM - Sub Style Sandwiches
395,Tan-Sukh By Kanha
396,FreshMenu
397,The Bewakoof Hotel
398,Cafe Ertugrul
399,Aahar Kolkatta Biryani
400,Kanti Sweets
401,Pandhal Cake Shop
402,Country Kitchen
403,Gopal's 56
404,Long Jhon Silver's
405,Bambusa Express
406,Wakhra Swaad
407,Health Mantra
408,Absolute Shawarma
409,Poetry By Love & Cheesecake
410,Sodhani Sweets And Namkeen
411,Giani
412,Swastik Mom's Kitchen
413,Angry Sardar Courtyard
414,Abar Khabo
415,RNR Biryani - Taste of 1953
416,Vanakkam Rajnikantham
417,Tara Bhojanalya
418,Mini Friends Corner
419,Sree Krishna Hotel
420,Samridhi At Kochi
421,Lhasa Restaurant
422,Anna (Truly Veg)
423,Hotel Heiga
424,Quick Crave
425,HRX by EatFit
426,Nini's Kitchen
427,Hotel Shubham Palace - Dhanturi Group of Hotels
428,Caffe In
429,Jain Mithai Bhandar (JMB)
430,Tibetan Bowl
431,Gopal Mistanna Bhandar
432,Crown Restaurant
433,Bakingo-Cakes & Desserts
434,Pastas By Pizza Hut
435,Krishnaz
436,Krishnashree
437,Viggis
438,Shivansh fast food and restaurant
439,175 C
440,Ghar ka Khana by EatFit
441,Madhu's Kitchen
442,Radha Krishna
443,Bunk Restro & Cafe
444,Awadhi
445,The Bro Momos
446,Kathi Junction
447,Little Persia
448,SKI Heaven Food
449,Natural Ice Cream
450,Kumar'S Sweet Shop (Jakhan)
451,Kori's
452,Big Bowl
453,Subway
454,Jay Bhavani Vadapav
455,Cake Bake
456,Hindusthan Sweets
457,Octopus Bakes and Bistro
458,Ramdev's Khana Khazana
459,Sopo
460,Punjabi Tikka Restaurant
461,Hira Sweets And Confectionary Pvt. Ltd.
462,Rolls Nation
463,Pasta Paradise
464,Kaleva
465,Go Zero Ice Creams & Desserts
466,Royal The City Club Restaurant
467,De Linz Cafe
468,Cake Plaza
469,Dawat-E-Khas Sweets & Snacks
470,Nakama Cafe
471,Poirei Com Cake Shop
472,House of parathas
473,The Pizza Project by Oven Story
474,Harley's Fine Baking
475,Sethi Tikka Kabab Curry
476,Urban Pinds Food Factory
477,Y Not Food Express
478,The Eleganza
479,Dip N Bite
480,Hira Sweets
481,Pizza Jalapenia (Uptown)
482,"Dabba Garam (Homestyle,Combo, Thali & More)"
483,Bengaluru Central Cafe
484,Chandimata Mistanna Bhander
485,Quick Bites
486,Tasty Tastes - Nagmapal
487,Wok N Roll
488,Srinidhi Sagar Deluxe
489,The Pizza Bakery - Wood Fired Sourdough
490,Red Dragon (Chopstix)
491,Salam Namaste Hotel & Restaurant
492,Mast Biryani
493,Copper Kitchen
494,Hangout Cakes & More
495,Sherawat Juice And Ice Cream Parlour
496,Lord Petrick
497,Barbecue Live
498,Food Lovers Restaurant
499,Shawarma Hut
500,Gopal's
501,Vishal Vaishno Dhaba
502,Rupar Tori Hotel & Restaurant
503,Pablo's Kitchen
504,CakeZone Patisserie
505,Kashyap chole kulche
506,Dhabha PB03
507,Shreelal Food Plaza
508,The Retro Rolls
509,Habitat Restaurant
510,DMB Sweets Pvt Ltd
511,Keventers - Milkshakes & Desserts
512,Lalaji Dilli Wale
513,Smoke House - Sangaiprou
514,Delly Belly
515,Sachins Dragon Villa
