category_id,category
262,Mawe Ki Mithai
263,Dumplings [6 Pcs]
264,Exclusive Desserts
265,Indian Traditional Chicken
266,JAPANESE/KOREAN
267,Local
268,5 Course Chicken Feast
269,"REGULAR 7"" PIZZAS | NON-VEG [SERVES 1]"
270,Kulfis
271,Jar Cake
272,Jain Selection
273,Special Meal Parcel
274,Veg Rolls
275,Special Chinese Thali
276,Calzones
277,Spring-roll
278,Nonveg Bengali Special
279,Rice Bowls
280,Bengali Combo
281,Paneer and rabdi
282,South Indian [ No Onion & No Garlic}
283,Roti And Paratha
284,Oriental Staples Veg
285,Saffron
286,Bento Cakes
287,Tea/ Coffee
288,Lime & Juices
289,Sandwich & Wrap
290,Pakoda & Snacks
291,Extra Dip & Crispy Noodles
292,Friendship Day Epic Deals (upto Rs 256 off)
293,Medley Smoothie Bowl
294,Roti In Tandoor
295,Maggi Twist
296,Egg Noodles
297,Slow Churn: Artisanal Fruit Ice Cream
298,Parathe Da Kamal
299,Chicken Soups
300,Non-veg Chinese Starters
301,Bruschettas
302,Rotiyaan
303,Fixed Meals
304,Chinese Starters Non Veg
305,Special Juices
306,Vegetables Items
307,Combos and Meals
308,South Indian Sweets
309,1/2kg Cakes
310,Millet South Indian Bowls
311,Lebanese Alfahm Mandi
312,Single Meal
313,Our Signature Dessert
314,Chicken Item
315,Stand Alone Meat Items
316,Cold Coffee
317,Regional Starter (veg)
318,Beverages With Benefits
319,Late Night Special
320,Paratha Tandoor Se With Raita
321,Tandoori Snacks
322,Packet items
323,Jhol Momo
324,Newly Launched - Bunless Burger Salads
325,Ladoo
326,Saled
327,Rice Items South Indian
328,Chinese Traditional Veg
329,Boba
330,All Day Snacks
331,Barish Combo Save up to41%
332,Bites
333,Muffins & Hot Cake
334,Teacher's Day Special
335,Indulge
336,Tandoor Starter
337,Thai Inspired Cuisine
338,Veg Special
339,Flavor Drinks
340,Schezwan
341,Biryani Combos
342,Happy Meal.
343,Indian Breads And Rice
344,Namkeens
345,Fresh Bakery Products
346,Regular Dosa
347,FRESH BREADS & NAAN
348,Nan
349,Chinese Prawn
350,Naga Mini Meals
351,Pesara Dosa
352,Masala Dosa
353,Lite Bites
354,Chana Masala Items
355,Gelato Shake
356,Meetha Maza
357,Salad & Papad
358,Toastizzas And Garlic Breads - New
359,Main Course (Veg)
360,Flavoured Coffee
361,Khichdi Combo's
362,Rice Bowl Combo's
363,Asian Main Course
364,Tandoori Kulcha & Paratha
365,Diwali Dhamaka Offer
366,Kebabs and Tikkas
367,Rice Bowls Small
368,Everyday Wow! Day
369,Korean Boba Range
370,Noodle Bowls
371,Extra Meals Items
372,Spl
373,Papad & Raita
374,Utthapams
375,"BIG 10"" PIZZAS | VEG [SERVES 2-3]"
376,Sweets Savouries And Podis
377,Kuzhimanthi (Arabic)
378,Khichuri
379,Treasure Of Basmati
380,Prepare Your Own Pizza
381,Non-Vegetarian Soups
382,From The Oriental Wok
383,KEEMA SPECIAL
384,Cheese Fries
385,Italian Thin Crust Pizzas
386,Pizza or Pasta
387,Combo Deals @10% OFF
388,Chinese Special Starters
389,Dal [o]
390,Nukkad Ki Chaat
391,Handvo
392,Chinese (veg)
393,Rice/pulao/biryani
394,Brizo (Biryani Type)
395,Chicken Deluxe Thali
396,Veg Specials
397,Croissants Reloaded
398,Bao Burger
399,Rama Special
400,Poori Sabzi
401,Vegetables deluxe thali
402,Lasagne
403,Flingo Cone
404,South Indian Snacks
405,Tiffin Combos
406,Snacky Combos
407,Loaded Cheese Fries
408,Rakhi gift hampers
409,Baklava
410,Mini Thalis
411,Indian Rice
412,Quick Bytes & Toasties
413,Egg Curry
414,Rolls & Kebabs
415,Crispy Chicken Combo
416,CHOWMEIN - CHOPSUEY
417,Kids Meal
418,Light Plates & Salad
419,COOKIE
420,Non Veg Sandwich
421,Fresh From Our Bakery
422,Crostini
423,Indian Non Veg Gravy
424,Boba & Shakrs
425,Noodles Soups
426,Appettizers
427,Hot Coffee Selections
428,Flat 179 Meals/Bucket
429,Chinese Starter (veg)
430,Sea Food Starters
431,"Fried Rice,noodles & Chopsuey"
432,3D Customised Cake
433,Sushi
434,Tandoori Items
435,Cafe Aurora Soup
436,Start With Me
437,Multi Roll Combos [FREE Coke & Choco Lava worth...
438,Blends From Aromas Plantation
439,Spice Ka Tadka
440,Chatpati Chaat
441,Dosas And Uttapams
442,Crispy Fried Items
443,Chinese Noodles
444,Trelly Specials
445,Hyderabadi Biryani
446,Summer Special
447,Veg Khajana Special
448,Special Bread Toast
449,Ala Carte Breakfast Menu
450,Must Try Combos
451,Mezzeh
452,Beverages And Soup
453,Lentils & Curries  [ Serves 1-2 ]
454,[750Gram] Dum Biryani
455,Indian Starters Large
456,Special Family Pack Biryanis
457,Bombay Chaupati
458,Naan
459,Tandoori Paneer Tikka or Kabab
460,Ragda Patties
461,Broth And Bowls
462,Super Combo
463,Box of Joy - Buy 4 Get 2 Free
464,Popsicle Sorbet  Icecream
465,Mocktails
466,Tandoor se
467,Mix Noodles Regular
468,Kulfi Special
469,Veg Roll
470,Cheena Sweets
471,Meal Box
472,Seafood Starters
473,South Indian Menu
474,Sandwich Brown Bread
475,Krispy Kreme Doughnuts and Coffee
476,BIRYANI VARIETY
477,Chow mein
478,"Pizza, Burger & Sandwichs"
479,Rice and Breads
480,Dry Fruits & Roasted Nuts
481,Jain Food (without Onion Garlic)
482,Veg Tandoor
483,Chinese Dry
484,Noodles
485,Flash Sale
486,Best Selling Combos
487,Chinese Staters
488,Bonda's
489,Fry Farsan
490,Pizza Meal
491,Sukuaa (Dry Fish Item)
492,Ice Crean And Dessert
493,Poul Try
494,Dam biriyani rice with chicken kosha 3pic f
495,Slices
496,Combo Meal
497,1 Plus 1 @ 169 each
498,Thukpa
499,KRISPY CHICKEN MOMOS
500,Toppings n Dips
501,Sk Special  Thali
502,Veg Indian Gravy
503,Rice&Pulao
504,Epic Combos | Sandwiches @105 | Save upto 300
505,Veg 1 KG Matka Biryani + Free Dessert
506,Shahi Biryani (serves 1)
507,Office Zone Cakes
508,Soup (Chicken)
509,Pastry
510,Pizza - 7Â Inches
511,Beverage Combos
512,Non Veg Sandwiches
513,Kanji
514,Rava Masala Dosa
515,The BWC Store
516,Roll Combos.
517,Season Special Combos
518,OVERNIGHT OATMEAL BOWLS
519,Mini Biryani Bowl
520,Chinese Main Course (Rice) :-
521,Chinese Non Veg
522,Veg Rice And Noodles
523,Burgers & Sandwichs
524,The 99 Calorie Sundaes
525,Gourmet Series (Veg)
526,Macaroni
527,Platter
528,Sp.mukhwas
529,Special Assortments Combos
530,Fried  Wings
531,"Sweet Sin, Waffles & Sundaes"
532,NATORR Premium Burgers
533,Taste OF India Combos
534,Hakka Noodles
535,Chinese Fried Rice
536,Moo Mithaa Karloji
537,Pork Items
538,Assorted Platters
539,Mocktails & Juices
540,Frappe
541,Double Patty Burgers & Meals
542,Dabeli
543,Pesara
544,Rosogolla
545,Bakery red sweets
546,Macaron
547,Grilled Beef Mandi
548,Curries And Dal
549,100 ML Ice Cream Cups (Serve 1)
550,Goan Thalis
551,Crazy Non Veg Roll
552,Whatâ€™s New.
553,Mini Cakes
554,Desserts and Beverages
555,Mexican Specials
556,Parotta Varieties
557,Classic Pastries
558,Special Dosai
559,Indian Main Course (veg)
560,Shorbas
561,Kothu Paratha
562,Meal Bowls
563,Signature Garlic Knots
564,Hyderabadi Dum Biryani (pakki Style)
565,Stick Kulfi Regular
566,Bati And Churma
567,Special Lassi's
568,Premium Cakes
569,Paneer Dishes
570,Chinese Starters Large
571,Special Falooda
572,Sides And Accompaniments
573,Wow! Birthday Slice Kulfi IceCream
574,Kababs
575,Keto Diet
576,Super Saver Deals
577,Fried Rice & Noodles
578,Dry Fruit Boxes
579,Breakfast Menu
580,North Indian Thali's
581,Laddu
582,Roti Bread
583,Jar Cakes
584,Vegetable Dishes
585,Single Order
586,Fathers day
587,Rice & Wheat Tiffens (750 Ml)
588,Best In Thali Delight
589,Main Dish
590,Bhaaja
591,Confectionary-sweets And Savories
592,Mukho Misti
593,Bread & Rice
594,Chinese Cuisine
595,Cold Preshed Juice
596,One Plus One Medium @649
597,TS Special Curries
598,Indian Main Course
599,Ice Tea
600,All Day Special
601,Payasam
602,Mini Cake
603,Savoury
604,Chinese- Dragon's Belly
605,Staples
606,Biryani Rice Noodles
607,Indian Appetizers (veg)
608,We Recommend
609,Match Day Combo
610,Croissant [p]
611,A Pizza House
612,Kaju Sweets
613,Sweets(5 Piece Pack)
614,Arabic Dishes Shawarma
615,Greek And Continental Salads
616,Pulao And Rice
617,Veg Sandwich with French Fries
618,Ts Signature Tiffins
619,Dessert Jar
620,Wow! Biryani
621,Kadak Kurkure Momos
622,To Start With
623,Desi Ghee Sweets
624,Starters Non Veg
625,Rolls & Frankie
626,Veg Burger with French Fries
627,South Indian Thali [n]
628,SPRING ROLLS
629,Chikki
630,Healthy Desserts Jar
631,1+1 Meals Starts at 209
632,Utthapam
633,Special Assortments
634,Hot Soup
635,Mini Lunchbox
636,Mini Signature Rice
637,Master Chef Curated Meals (Serves 1)
638,Garlic Breadsticks + Cheesy Dip [FREE]
639,IPL Combo
640,PUJO SPECIALS
641,Seekh Kabab
642,Sorbet
643,Thali/ Meals
644,Combo For 5-non Veg
645,Trout Specialities
646,Breakfast N Beverages
647,Crunchy Fried Chicken
648,"10"" LARGE PIZZAS | NON-VEG"
649,Grillicken ( Grilled Chicken )
650,Chopsuey
651,Superbowl
652,Punjabi Thali
653,Vegetable Variety Rice
654,North India
655,Indian Rice / Breads
656,Subji
657,Main Course Chicken
658,Wow! Birthday(Save upto 40%)
659,Fresh Breads
660,Chicken Mandi
661,Non Veg Chinese Starters
662,Indian Kebab & Appetizers
663,Idly Vada
664,Pithe Utsav
665,Rice And Papad
666,Spaghetti
667,Assamese Thali
668,Shabal Special
669,Slice Kulfi
670,Chicken Indian Main Course
671,Fruit Shake
672,"Breads, Dips & Snacks"
673,Amritsari Kulcha With Chole
674,Crazy deal
675,Homely Rice Meals
676,Meethe Me Kuch
677,Signature Wings
678,Chocolate
679,Healthy Fusion
680,Butter Cheese Special
681,Egg and Omelette
682,New Items
683,Chinese Specials
684,Breakfast North Indian
685,"7"" REGULAR PIZZAS | VEG"
686,Miguels Kitchen
687,Boss Drinks
688,Pull Apart Bagels & Toasties
689,Pesarattu
690,Schezwan Noodles
691,Kebabs & More (New)
692,Non Veg Tandoor Starter
693,Tikki & Chaat
694,Egg Mains
695,Loaded Snacks
696,Sandwiches
697,Value Meals
698,Non Fruit Falooda
699,Tandoori Zaika
700,Non Veg Wraps
701,Gulaabo Combo @ 189
702,Bhaji & Pulao ( Bhaji Pao Kilo K Bhaw Se)
703,Cold Tea
704,Rusk And Khari
705,Non-Veg Rice Bowls [Steamed Rice]
706,Gujarati Specials
707,Bakery Snacks
708,Continental Appetizer
709,Gift Sweet Box Combo
710,CHINESE SNACKS (non-veg)
711,Seafoods
712,Pork  Fried Rice
713,Hong Kong Noodles
714,Basmati khazana
715,Tiffin services
716,Rice Bowl
717,Mocktails And Shakes
718,Bhujiya
719,Continental Starters
720,Korean Bowls
721,Vinayaka Chaturthi Spl
722,Traditional Sweets
723,HNH Ice Cream Pastry
724,Folded Pizza & Burgers
725,Labubu Cake
726,Faluda
727,Indian Mutton
728,Chinese Starter
729,Pastries & Desserts
730,North Indian Khichdi
731,Wedge
732,Garlic Noodles
733,Salad And Curd
734,Retail Range
735,Beverages & Desserts
736,Christmas & New Year Special
737,Premium Pizza
738,Classic Milkshake
739,Ghee Dosa's - Special
740,Korean Barbeque Bapsang
741,Healthy momos
742,Chinese ( Non - Veg)
743,Indian Main Course (dal - Lentils)
744,SIDES AND DIPS
745,Cookies
746,Soft Drinks
747,Fresh Juices
748,Drink
749,Platter And Thali
750,Kulcha
751,Hot Beverage
752,House Specials
753,Super Mocktails
754,Fluffy pancakes
755,Pork Soup
756,Upwas Special Bowls
757,Land Of Thousand Spices
758,Hot Dog & Burger
759,Kaju And Premium Sweets
760,Non Veg Main Course
761,Premium Sweets
762,Alfahm
763,Balls
764,Friday Funday Flavour (New Attraction)
765,Affordable/Bengali Meal
766,Appetizers and Gravy Chinese
767,Fruity Delight
768,PIZZA MANIA
769,Appetizers-mutton And Fish
770,Mukhwas
771,Plain Sabji
772,Value Meal Combos
773,Thaipo & Sya Phaley
774,Creator Collaborations
775,Namkeen @ Rs. 99
776,Sattu
777,Handi Rice
778,Special Shakes & Mocktails
779,Bibimbap
780,Super Saver Packs
781,Mutton Dry & Gravy
782,Super Heroâ€™s Of Our Menu
783,Pasta & Rissoto
784,Peda
785,Desserts Sundaes
786,Cup Cakes
787,Value Biryani Bowl
788,Stew
789,Pasta Lunch Box
790,Box of 3
791,Ganesh Utsav Specials
792,Chef Recommended Shree Ram Special
793,Kom Momos Platter
794,Soya Gravy Items
795,Millets Magic
796,Garlic Bread
797,Kadhai Meals
798,Ice Cream Sandwiches
799,Mr Pizza Special
800,CAKE TOPPERS
801,Starter Veg
802,Hot Soups & You
803,Seafood
804,Paratha And Eggs
805,Continental Non Veg
806,Smokey Grill Chicken
807,Prawn Soup
808,Popeyes iconic sandwich
809,Beverages.
810,Gourmet Cookies
811,Chandni Chowk Ki Chaat
812,Dry Snacks (chinese)
813,Roti/chapati
814,Stone Sundae
815,Muffin
816,Handi Seasonal
817,Non-Veg Sandwiches
818,Dry Items
819,Milk Shakes
820,Korean Wraps
821,Breakfast Economic Menu (till 12pm)
822,Dal Bafla Thali
823,Cakes & Muffins
824,Fried Rice And Noodles
825,Ramen
826,Indian Flavoured Starters
827,Pot Meals
828,Quick-bites
829,From The Tandoor
830,Goan Special
831,Finger Chicken Thai Style (boneless)
832,Shawarmas
833,Chettinad Special Gravy
834,Myfroyoland Original Frozen Yogurt
835,Rice Bowls (White Or Brown Rice)
836,Schezwan Dosa
837,Non Veg Pasta
838,Mawa dryfruit sweet
839,Continental And Italian Dishes
840,Tandoori Delights
841,Rice And Biriyanis
842,Fries & Nachos
843,Refreshing Drinks
844,Cold Refreshing Beverages
845,Kebab
846,Special veg ka maja
847,Kothu Parotta
848,Baklava & Kunafa
849,Mix Noodles
850,Ice Cream Sundaes
851,Veg Dishes
852,Yakitories
853,Tarts
854,Shorba
855,Satnam Thalis
856,Ice Cream Rocks
857,Crunchy Burger And Crispy Sandwiches
858,Finger Food Non-veg
859,NON-VEG BURGERS MEALS
860,Salad And Papad
861,Tandoori Starters
862,Schezwan Dishes
863,Dhoodh Wali Chai
864,Veg single pizza
865,Happy Burger Meal
866,Laphing Section
867,Salad Papad Raita
868,Street Food Snacks
869,Bhaji
870,Stuff Paratha Combo
871,MAD OVER MANGOES
872,Multicuisine
873,Chicken kasha
874,Biscoff Cookie Sundaes
875,Veg Homely - LIGHT MEAL
876,Roti & Rice
877,Side Orders
878,Oven Baked Wraps
879,Cheesecake
880,Charcoal Grilled
881,Ice Cream Shake
882,DOTD
883,Vegetable Curries
884,Shiv Sager Special Dessert
885,Our Combos
886,Ganesh Chaturthi Spl Modak
887,Selection Of Fresh Juice
888,Chicken Shawarma Meal
889,Tea / Coffee
890,Freid Rice And Chowmein
891,Coolers & Iced Tea
892,Mustard Classics
893,Main Course Non Veg
894,Hayat Special
895,Millet Kerala Parotta with Curry
896,Veg Two Pizza
897,Premium Dates
898,New Arrival Shakes
899,Fried-rice
900,HK Special Wraps
901,Prawn Fried  Rice
902,MAIN COURSE PRAWNS
903,Classics And Nuts Milkshakes
904,Coffee Beans
905,Pocket Friendly Combo
906,Non Veg Chinese Rice And Noodles
907,Amritsari Special Full Nd Half
908,Tibetian
909,Pasta & Pizza
910,Wooden Plate Add- Ons
911,Value Combos
912,Family Tub [550 ML]
913,Bakery Savoury Snacks
914,Breakfast and dinner
915,Celebration Day Combo
916,Muffin And Tea Cake
917,Rice biryani
918,Breakfast Favourites
919,Deep Fry
920,Rice [n]
921,Combo
922,Chimichurri Burgers
923,Others
924,From The Clay Oven
925,Schezwan Fried Rice
926,Chinese Magic Rice
927,Salads Veg
928,Chicken Shawarma Rolls
929,Hot Ramen
930,Lassi & Buttermilk
931,Stimulating Beverages
932,Hot Dog
933,Small Bites
934,Indian Breasds
935,Salad Corner
936,Chinese  Combos
937,Rotis And Breads
938,Fiery Wings
939,Korean Thali
940,Specials Menu
941,Iced Cold Coffee
942,Exotic dal
943,Cold beberage
944,Food Zillas Special
945,EID Special
946,EPIC SAVINGS BUCKET FOR 3-4 (UP TO 32% OFF)
947,Dips & Salads
948,Harley's Grand Celebration Medovik Cakes
949,"Pizzas,burger AND SANDWICH"
950,Live Counter Snacks
951,Exotic Delight Sandwich
952,Gift Packs
953,Wah chicken thali
954,Pastry Cake
955,Family Pack Combo
956,Dips
957,Fried Momo
958,Family Packs
959,Milk Shake
960,Festive special
961,Noodles/rice
